#crosssection1 uncertainty1 Q21 XXXX1 x1 z1 pt1 crosssection2 uncertainty2 Q22 XXXX2 x2 z2 pt2 crosssection3 uncertainty3 Q23 XXXX3 x3 z3 pt3  
58343048.797987 834579.956821 3.247453 3.076911 0.000568 0.069277 0.032755 12010048.514585 378656.809586 1.376354 3.419852 0.000776 0.066368 0.034220 -999.000000 -999.000000 -999.000000 3.019635 -999.000000 -999.000000 -999.000000 
158156182.278044 793333.602455 3.476210 3.022964 0.000548 0.072377 0.128732 115579804.194034 678193.683147 1.614147 2.897696 0.000674 0.067804 0.146499 -999.000000 -999.000000 -999.000000 2.832050 -999.000000 -999.000000 -999.000000 
77941951.692066 393806.974618 4.711776 3.336043 0.000526 0.075754 0.305560 230363713.854298 677025.148417 1.999958 2.802759 0.000620 0.070474 0.341995 4890771.910015 98647.587769 1.149399 2.747441 0.000875 0.058103 0.416081 
757748.445758 11368.074149 6.232940 3.952824 0.000487 0.081020 0.610376 11395219.987248 44084.480503 2.711987 2.880523 0.000572 0.073159 0.729726 2667213.131491 21328.152179 1.385573 2.664575 0.000740 0.065861 0.948173 
7863437.993645 125084.644499 2.780594 2.766830 0.000578 0.183014 0.033189 825740.578786 40534.010811 1.248762 2.896608 0.000861 0.171525 0.034103 -999.000000 -999.000000 -999.000000 3.387041 -999.000000 -999.000000 -999.000000 
33312165.710930 148640.984134 2.867542 2.765192 0.000568 0.186131 0.136387 7125245.813573 68744.358525 1.427747 2.874117 0.000756 0.161080 0.148409 -999.000000 -999.000000 -999.000000 3.218678 -999.000000 -999.000000 -999.000000 
38138271.190076 112461.181391 3.277887 2.931119 0.000552 0.203496 0.332816 24853464.930571 90785.316552 1.625752 2.805586 0.000676 0.164904 0.361007 -999.000000 -999.000000 -999.000000 2.975437 -999.000000 -999.000000 -999.000000 
1309132.808832 6100.151188 4.187827 3.265588 0.000538 0.235319 0.701018 2593223.364655 8585.561594 2.024063 2.856070 0.000627 0.183167 0.830471 59635.240423 1301.967767 1.283196 2.817809 0.000809 0.130908 1.426191 
519321.183285 27838.537510 2.269383 2.387055 0.000569 0.521860 0.033213 29846.045016 6673.778552 1.221384 2.493551 0.000895 0.525082 0.033223 -999.000000 -999.000000 -999.000000 4.174230 -999.000000 -999.000000 -999.000000 
2596108.482340 35935.954751 2.449470 2.464376 0.000580 0.519357 0.138496 221358.167205 10493.383489 1.269171 2.602309 0.000871 0.510270 0.143574 -999.000000 -999.000000 -999.000000 3.930627 -999.000000 -999.000000 -999.000000 
4234158.919655 32451.617541 2.571440 2.517022 0.000568 0.523661 0.349840 688697.488753 13087.811204 1.369522 2.648417 0.000787 0.507988 0.370817 -999.000000 -999.000000 -999.000000 3.618899 -999.000000 -999.000000 -999.000000 
335661.413416 2675.038805 3.031715 2.808633 0.000555 0.534450 0.769285 140532.234820 1730.881569 1.573241 2.851718 0.000705 0.511742 0.963504 -999.000000 -999.000000 -999.000000 3.325103 -999.000000 -999.000000 -999.000000 
50738.276528 12305.839611 1.904655 1.984110 0.000600 0.864220 0.038338 -999.000000 -999.000000 -999.000000 2.512740 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
246727.305469 15667.199564 2.326796 2.388334 0.000570 0.884040 0.138451 24871.704180 4974.340836 1.226304 2.321427 0.000905 0.893313 0.150482 -999.000000 -999.000000 -999.000000 3.953450 -999.000000 -999.000000 -999.000000 
514346.842449 15995.425916 2.401444 2.371122 0.000574 0.879686 0.350880 46261.369775 4797.080579 1.288728 2.445610 0.000853 0.877374 0.381544 -999.000000 -999.000000 -999.000000 3.873623 -999.000000 -999.000000 -999.000000 
44342.695453 1375.008615 2.642209 2.568213 0.000566 0.877865 0.754449 10105.018098 656.391461 1.441056 2.610792 0.000767 0.873825 0.895625 -999.000000 -999.000000 -999.000000 3.696387 -999.000000 -999.000000 -999.000000 
1872845.122806 118925.784224 7.798903 3.356955 0.001257 0.019802 0.032237 10995413.301635 288158.125940 6.308639 3.123513 0.001553 0.017957 0.033685 231900516.254530 1323353.741208 3.021303 2.799465 0.001797 0.008548 0.034839 
936422.561403 48551.248102 8.135872 3.728799 0.001256 0.021211 0.083688 48930596.098254 350957.653487 6.231462 3.049516 0.001492 0.017698 0.130743 994387621.406779 1582130.559116 2.978573 2.820772 0.001815 0.006954 0.132861 
-999.000000 -999.000000 -999.000000 4.683114 -999.000000 -999.000000 -999.000000 18951229.176135 154442.974856 6.884886 3.183070 0.001419 0.018787 0.292477 774722271.441763 987466.763970 3.063190 2.811459 0.001802 0.007853 0.323909 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 97849.684700 3249.045453 8.092259 3.397711 0.001231 0.020934 0.591075 22301960.551090 49050.969240 3.223889 2.794050 0.001766 0.009856 0.686054 
8080420.489525 247025.662308 6.605321 3.196345 0.001337 0.037608 0.031909 26144313.770782 444338.265392 4.124021 3.468830 0.001796 0.037584 0.032505 36105131.177964 522167.160677 1.705399 2.871017 0.002017 0.034129 0.032675 
9553020.485280 155072.510892 6.860568 3.245720 0.001410 0.039452 0.109160 89848737.860633 475576.574927 4.172003 2.819722 0.001667 0.037058 0.134553 123844401.010490 558345.027665 1.657152 2.759831 0.002035 0.034601 0.134496 
429193.673976 23242.140524 8.232826 3.831205 0.001261 0.043743 0.239243 58541513.677384 271444.746220 5.072046 2.843270 0.001609 0.037993 0.310493 147145464.020238 430351.088723 1.909226 2.675798 0.001957 0.035320 0.338064 
-999.000000 -999.000000 -999.000000 4.916442 -999.000000 -999.000000 -999.000000 825842.708242 9438.972940 6.557516 3.027594 0.001463 0.039231 0.639136 7396335.758897 28247.783805 2.397871 2.614277 0.001885 0.035873 0.737658 
