#crosssection           uncertainty            Q2            XXXX x y z pt
111016.535317 4254.162877 2.490969 2.519084 0.001861 0.076409 0.874936 0.137320 
194319.691773 3979.822357 2.469339 2.566877 0.001863 0.073631 0.876987 0.356416 
19611.291041 370.156158 2.616680 2.717211 0.001851 0.078579 0.872775 0.768726 
37436080.306433 215196.092552 3.701002 2.874033 0.005306 0.037429 0.011781 0.035171 
179987927.236987 272427.068198 3.529767 2.866614 0.005353 0.035379 0.009495 0.133003 
130610022.240838 164097.446351 3.581419 2.855493 0.005328 0.036063 0.010396 0.320162 
3065453.385528 7360.164728 3.812655 2.836560 0.005252 0.038900 0.012641 0.665562 
16707256.406129 143761.225103 3.467955 3.103886 0.005496 0.033989 0.035961 0.032677 
53910776.057717 149096.126492 3.189353 2.892799 0.005484 0.031109 0.035886 0.133538 
49013188.862796 100524.066920 3.121550 2.821764 0.005456 0.030563 0.036163 0.328847 
1783542.298709 5614.122478 3.124312 2.767215 0.005416 0.030803 0.036401 0.705586 
5499193.569780 58320.830776 3.477063 3.154625 0.005555 0.033681 0.069092 0.032938 
21553094.731931 66660.472838 3.198200 2.926696 0.005506 0.031109 0.070691 0.136480 
24383819.723986 50135.972396 3.161222 2.889406 0.005484 0.030822 0.071767 0.332435 
990485.725188 2958.348195 3.147273 2.829808 0.005440 0.030879 0.072406 0.722230 
725411.936238 8647.506992 3.144965 2.908058 0.005529 0.030313 0.184667 0.033466 
3399687.657974 10808.301604 3.118056 2.882158 0.005512 0.030245 0.183476 0.138668 
5249159.940201 9496.593552 3.131911 2.895080 0.005517 0.030370 0.190650 0.343449 
297382.224909 661.769971 3.238892 2.947100 0.005499 0.031504 0.203694 0.751506 
53887.891100 2041.149424 2.770252 2.649533 0.005512 0.026918 0.526145 0.032469 
246889.524981 2522.434569 2.853108 2.659959 0.005511 0.027643 0.522718 0.138511 
457750.703832 2428.667661 2.870495 2.703276 0.005519 0.027701 0.522660 0.353134 
41724.182457 214.671358 3.133688 2.907656 0.005545 0.030214 0.530967 0.789422 
6185.123799 977.953941 2.889799 2.451946 0.005818 0.026147 0.852829 0.036399 
25307.464878 1142.109902 2.729080 2.519084 0.005578 0.025788 0.876104 0.142262 
48475.907775 1117.716219 2.707836 2.566877 0.005531 0.026095 0.872501 0.353074 
4917.173420 104.220450 2.915304 2.717211 0.005525 0.027887 0.869463 0.759304 
2460948.042790 31029.667504 5.730442 2.874033 0.015458 0.019426 0.013511 0.034665 
13016941.446682 41202.137575 5.592442 2.866614 0.015552 0.018847 0.010758 0.133152 
8969483.974081 24184.326843 5.624078 2.855493 0.015449 0.019084 0.011847 0.317684 
185451.410538 1018.103546 5.795932 2.836560 0.015250 0.019959 0.014645 0.651631 
1566947.044733 24760.137918 5.475416 3.103886 0.015786 0.018161 0.036327 0.032219 
4820302.099075 25072.774857 5.377029 2.892799 0.015812 0.017755 0.035956 0.133121 
4120425.168941 16391.597831 5.355571 2.821764 0.015755 0.017728 0.036238 0.327639 
138702.899455 880.480312 5.345564 2.767215 0.015683 0.017783 0.036413 0.694012 
546573.039074 10340.344416 5.479441 3.154625 0.015922 0.017953 0.068906 0.032857 
1986168.956951 11380.422073 5.375998 2.926696 0.015817 0.017721 0.070537 0.136223 
2154405.468620 8381.060930 5.371183 2.889406 0.015818 0.017713 0.072086 0.331138 
80985.479596 475.735391 5.378896 2.829808 0.015743 0.017807 0.072751 0.706981 
68142.308021 1490.540209 5.278672 2.908058 0.015820 0.017400 0.182512 0.033395 
316562.862526 1854.832220 5.325598 2.882158 0.015902 0.017465 0.183649 0.137872 
490146.426116 1632.009083 5.334078 2.895080 0.015856 0.017534 0.190959 0.343648 
27245.744703 112.651142 5.429076 2.947100 0.015875 0.017867 0.207520 0.737431 
4817.237325 343.213949 5.173130 2.649533 0.016217 0.016610 0.518126 0.032084 
21681.643461 420.389035 5.156656 2.659959 0.015828 0.016874 0.522929 0.139013 
41627.125247 411.887387 5.170937 2.703276 0.015878 0.016917 0.521567 0.355538 
4079.106617 37.748475 5.379185 2.907656 0.015999 0.017549 0.531095 0.794886 
-999.000000 -999.000000 -999.000000 2.451946 -999.000000 -999.000000 -999.000000 -999.000000 
2184.466334 188.709149 4.938811 2.519084 0.014891 0.017009 0.873818 0.133985 
4279.271736 186.762730 5.112295 2.566877 0.015717 0.016835 0.870048 0.349241 
452.030827 17.771166 5.268086 2.717211 0.016060 0.017123 0.865317 0.793334 
34884.098227 2077.317819 8.535458 2.874033 0.036735 0.011685 0.014886 0.033244 
169637.328730 2644.778351 8.566457 2.866614 0.036746 0.011724 0.012069 0.133492 
112156.911557 1520.640636 8.559032 2.855493 0.036597 0.011758 0.013438 0.313436 
2030.487784 59.901868 8.595015 2.836560 0.036365 0.011883 0.017097 0.634210 
24369.387768 1736.246989 8.535762 3.103886 0.036652 0.011716 0.035117 0.032001 
74386.422224 1751.359911 8.547686 2.892799 0.036670 0.011717 0.035878 0.134789 
66448.846682 1170.461936 8.538035 2.821764 0.036764 0.011677 0.036151 0.326993 
2049.926745 60.187922 8.578427 2.767215 0.036828 0.011715 0.036540 0.686925 
8349.917129 718.646444 8.601823 3.154625 0.037083 0.011666 0.069013 0.031973 
